country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity
BG,Bulgaria,J,Information and communication,2023,21.4,,16.73,,9.55,,12.0,,4.79,,,,7.4,,6.11,,5916.33,118171.0,4,4,50.065836795829775,1,No,Yes,Yes
BG,Bulgaria,J,Information and communication,2024,33.92,,29.32,,18.68,,19.7,,8.78,,0.95,,14.22,,6.26,,6565.0599999999995,118832.0,4,4,55.24656658139221,0,No,Yes,Yes
BG,Bulgaria,L,Real estate activities,2021,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,2,2,,3,No,No,No
BG,Bulgaria,L,Real estate activities,2023,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,355.08,,4,2,,0,No,No,No
BG,Bulgaria,L,Real estate activities,2024,,,,,,,,,,,0.0,,,,,,,,2,2,,7,No,No,No
BG,Bulgaria,M,"Professional, scientific and technical activities",2021,3.68,,2.38,,,,1.0,,,,,,,,,,1118.2,45421.0,4,4,24.618568503555625,5,No,Yes,Yes
BG,Bulgaria,M,"Professional, scientific and technical activities",2023,9.65,,5.52,,,,5.6,,2.46,,,,4.35,,2.97,,1515.71,48873.0,4,4,31.013238393386942,2,No,Yes,Yes
BG,Bulgaria,M,"Professional, scientific and technical activities",2024,14.17,,11.65,,7.38,,7.27,,1.95,,,,2.56,,4.52,,1636.8,50462.0,4,4,32.43628869248147,1,No,Yes,Yes
BG,Bulgaria,N,Administrative and support service activities,2021,2.88,,,,,,1.76,,0.0,,0.0,,0.0,,,,1128.52,96948.0,4,4,11.640467054503445,3,No,Yes,Yes
BG,Bulgaria,N,Administrative and support service activities,2023,6.16,,1.49,,,,2.05,,,,0.0,,,,,,1438.64,96308.0,4,4,14.937907546621258,4,No,Yes,Yes
