country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity,gva_current_meur_na,gva_current_meur_na_status,gva_volume_2020_meur_na,gva_volume_2020_meur_na_status,na_deflator_cp_over_clv20,na_deflator_base,na_deflator_norm_2021,value_added_real_2021_meur_ge10,labour_productivity_real_2021_keur,real_productivity_available
BG,Bulgaria,C,Manufacturing,2023,2.55,,0.95,,0.19,,1.2,,0.94,,0.11,,0.3,,0.17,,10808.67,436954.0,4,4,24.73640245884006,0,No,Yes,Yes,12714.0,,10891.1,,1.1673751962611674,0.9931749931749931,1.1753972907929235,9195.758816755879,21.04514163219899,Yes
BG,Bulgaria,C,Manufacturing,2024,4.35,,1.95,,1.04,,1.84,,1.26,,0.63,,1.1,,0.23,,11263.78,420281.0,4,4,26.80059293663049,0,No,Yes,Yes,13092.1,,10557.7,,1.2400522841149113,0.9931749931749931,1.2485738088820562,9021.31689762524,21.464964863092167,Yes
BG,Bulgaria,F,Construction,2021,1.47,,,,0.0,,,,,,0.0,,0.0,,,,1860.11,112076.0,4,4,16.596862843070774,4,No,Yes,No,2477.1,,2293.0,,1.0802878325337986,1.0802878325337986,1.0,1860.11,16.596862843070774,Yes
BG,Bulgaria,F,Construction,2023,,,,,0.0,,,,,,0.0,,0.0,,,,2562.71,111778.0,4,4,22.92678344575856,5,No,No,No,3666.7,,2506.3,,1.462993256992379,1.0802878325337986,1.3542624594418977,1892.3289072460245,16.92935020528212,Yes
BG,Bulgaria,F,Construction,2024,1.6,,,,,,,,,,0.0,,,,0.0,,3326.25,117720.0,4,4,28.255606523955148,5,No,Yes,No,4376.1,,2782.0,,1.573005032350827,1.0802878325337986,1.4560980740302958,2284.358491590721,19.40501606855862,Yes
BG,Bulgaria,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,2.47,,0.51,,0.24,,1.72,,0.0,,,,1.17,,0.44,,5862.82,268580.0,4,4,21.828952267480823,1,No,Yes,Yes,9985.4,,8572.6,,1.1648041434337306,1.1648041434337306,1.0,5862.82,21.828952267480823,Yes
BG,Bulgaria,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,2.5,,1.0,,0.84,,0.97,,,,0.29,,0.86,,0.42,,7477.33,273480.0,4,4,27.34141436302472,1,No,Yes,Yes,12932.7,,8884.5,,1.455647475941246,1.1648041434337306,1.249692906869422,5983.333952603839,21.878506481658036,Yes
BG,Bulgaria,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,6.13,,3.06,,2.42,,2.31,,0.69,,0.61,,2.25,,0.96,,8299.939999999999,278983.0,4,4,29.750701655656435,0,No,Yes,Yes,14670.3,,9879.5,,1.484923326079255,1.1648041434337306,1.2748266173760712,6510.642221358275,23.337057173226594,Yes
BG,Bulgaria,H,Transportation and storage,2021,1.92,,0.95,,,,1.56,,0.0,,,,,,,,1675.65,105961.0,4,4,15.813837166504657,4,No,Yes,Yes,3035.4,,3071.3,,0.9883111386058021,0.9883111386058021,1.0,1675.65,15.813837166504657,Yes
BG,Bulgaria,H,Transportation and storage,2023,1.9,,1.48,,,,1.67,,,,,,,,,,2465.08,106783.0,4,4,23.084947978610828,5,No,Yes,Yes,3910.2,,3393.4,,1.1522956326987681,0.9883111386058021,1.165923956219189,2114.271678569554,19.799702935575457,Yes
