country_code,sector_code,year,gva_current_meur_na,gva_current_meur_na_status,gva_volume_2020_meur_na,gva_volume_2020_meur_na_status,na_deflator_cp_over_clv20,na_deflator_base,na_deflator_norm_2021
CY,L,2024,3121.6,,2694.1,,1.1586800786904718,1.021258020865162,1.1345615456796043
CY,M,2021,1905.2,,1862.9,,1.022706532825165,1.022706532825165,1.0
CY,M,2023,2075.5,,1861.0,,1.115260612573885,1.022706532825165,1.090499157654782
CY,M,2024,2152.0,,1900.5,,1.1323335964219943,1.022706532825165,1.1071930803981385
CY,N,2021,534.3,,522.9,,1.0218014916810096,1.0218014916810096,1.0
CY,N,2023,762.3,,686.5,,1.1104151493080845,1.0218014916810096,1.0867229675710228
CY,N,2024,803.8,,712.6,,1.1279820376087566,1.0218014916810096,1.1039150429826294
CZ,C,2021,48319.2,,46548.7,,1.038035433857444,1.038035433857444,1.0
CZ,C,2023,65201.7,,52394.4,,1.2444402455224222,1.038035433857444,1.1988417783562137
CZ,C,2024,64824.7,,51663.5,,1.2547485168445807,1.038035433857444,1.208772336587595
CZ,F,2021,12174.5,,10757.5,,1.1317220543806648,1.1317220543806648,1.0
CZ,F,2023,16416.1,,10193.7,,1.610416237480012,1.1317220543806648,1.4229785760968603
CZ,F,2024,16564.7,,10416.6,,1.5902213774168155,1.1317220543806648,1.4051342122930215
CZ,G,2021,25119.7,,22908.9,,1.096503978802998,1.096503978802998,1.0
CZ,G,2023,30864.1,,20646.4,,1.4948901503409793,1.096503978802998,1.36332396346877
CZ,G,2024,29594.0,,20898.0,,1.4161163747727055,1.096503978802998,1.2914831155638973
CZ,H,2021,11487.5,,11255.4,,1.0206212129289052,1.0206212129289052,1.0
CZ,H,2023,14853.3,,12071.6,,1.230433413963352,1.0206212129289052,1.2055730356929804
CZ,H,2024,15401.2,,12643.5,,1.218112073397398,1.0206212129289052,1.1935006425172643
CZ,I,2021,2836.0,,2571.3,,1.1029440360906932,1.1029440360906932,1.0
CZ,I,2023,5221.3,,2688.6,,1.9420144313025367,1.1029440360906932,1.7607551858985238
CZ,I,2024,5343.4,,2540.7,,2.103121187074428,1.1029440360906932,1.9068249324134268
CZ,J,2021,15299.5,,14534.6,,1.0526261472623946,1.0526261472623946,1.0
CZ,J,2023,20220.4,,16270.3,,1.2427797889405852,1.0526261472623946,1.1806468917504382
CZ,J,2024,20153.3,,16650.9,,1.2103429844633022,1.0526261472623946,1.1498317684878796
CZ,L,2021,28395.4,,24821.3,,1.1439932638499999,1.1439932638499999,1.0
CZ,L,2023,35556.8,,25439.8,,1.3976839440561641,1.1439932638499999,1.221758893363054
CZ,L,2024,36311.3,,25581.3,,1.4194470179388852,1.1439932638499999,1.2407826713610812
CZ,M,2021,11688.3,,11324.9,,1.0320885835636517,1.0320885835636517,1.0
CZ,M,2023,15093.3,,12393.9,,1.217800692276039,1.0320885835636517,1.1799381484011289
CZ,M,2024,15754.2,,12696.4,,1.2408399231278158,1.0320885835636517,1.2022610683700967
CZ,N,2021,4021.7,,3817.9,,1.053380130438199,1.053380130438199,1.0
CZ,N,2023,5873.7,,4320.0,,1.3596527777777778,1.053380130438199,1.290752254091001
CZ,N,2024,6075.8,,4580.5,,1.3264490776116145,1.053380130438199,1.2592311543410457
DE,C,2021,683907.0,,697639.1,,0.9803163268801878,0.9803163268801878,1.0
DE,C,2023,799148.0,p,700260.3,p,1.1412156308161407,0.9803163268801878,1.1641299849080426
DE,C,2024,779505.0,p,670275.7,p,1.1629617484268042,0.9803163268801878,1.1863127406312586
DE,F,2021,162155.0,,149595.9,,1.0839535040733068,1.0839535040733068,1.0
DE,F,2023,187208.0,p,126976.2,p,1.4743550366131606,1.0839535040733068,1.3601644637641683
DE,F,2024,193155.0,p,122133.6,p,1.5815058264064925,1.0839535040733068,1.4590162958682928
DE,G,2021,354424.0,,341623.4,,1.0374699157024958,1.0374699157024958,1.0
DE,G,2023,409495.0,p,329387.4,p,1.243201773959781,1.0374699157024958,1.1983015171268645
DE,G,2024,408078.0,p,328639.6,p,1.2417188920629165,1.0374699157024958,1.1968721919248317
DE,H,2021,155157.0,,144300.5,,1.0752353595448387,1.0752353595448387,1.0
DE,H,2023,167868.0,p,156396.6,p,1.0733481418394006,1.0752353595448387,0.9982448329208249
DE,H,2024,178189.0,p,159020.0,p,1.1205445855867187,1.0752353595448387,1.0421388913968193
DE,I,2021,36210.0,,34580.9,,1.0471098207391942,1.0471098207391942,1.0
DE,I,2023,69775.0,p,57480.7,p,1.213885704245077,1.0471098207391942,1.159272580776818
DE,I,2024,71029.0,p,56931.7,p,1.2476177595258882,1.0471098207391942,1.19148701961858
DE,J,2021,167800.0,,166981.7,,1.004900537004953,1.004900537004953,1.0
DE,J,2023,185650.0,p,182698.9,p,1.01615280661241,1.004900537004953,1.0111973963522733
DE,J,2024,191267.0,p,186538.9,p,1.025346455886681,1.004900537004953,1.0203462115192672
DE,L,2021,339710.0,,338136.3,,1.0046540403973192,1.0046540403973192,1.0
DE,L,2023,374433.0,p,350496.9,p,1.0682919021537707,1.0046540403973192,1.0633430605935592
DE,L,2024,387275.0,p,355128.0,p,1.0905222905543916,1.0046540403973192,1.0854704671501778
DE,M,2021,238914.0,,235571.5,,1.0141888980627962,1.0141888980627962,1.0
DE,M,2023,267634.0,p,241140.4,p,1.1098679441520376,1.0141888980627962,1.0943404589342263
DE,M,2024,278550.0,p,245354.8,p,1.1352946834543283,1.0141888980627962,1.1194114682411298
DE,N,2021,158092.0,,150708.5,,1.0489919281261508,1.0489919281261508,1.0
DE,N,2023,197545.0,p,160980.5,p,1.2271362059379862,1.0489919281261508,1.1698242598778243
DE,N,2024,201597.0,p,160346.6,p,1.2572577154738547,1.0489919281261508,1.1985389799135404
DK,C,2021,43101.5,,46008.6,,0.9368139869502659,0.9368139869502659,1.0
DK,C,2023,58462.9,,57953.9,,1.0087828429147996,0.9368139869502659,1.0768229947108534
DK,C,2024,69238.3,,68376.2,,1.0126081882292377,0.9368139869502659,1.0809063510310246
DK,F,2021,16002.2,,15095.4,,1.0600712799925807,1.0600712799925807,1.0
DK,F,2023,17018.6,,13729.7,,1.2395463848445338,1.0600712799925807,1.169304751708026
DK,F,2024,17430.9,,13844.6,,1.2590396255579794,1.0600712799925807,1.1876933648903225
DK,G,2021,39647.0,,38775.5,,1.0224755322304033,1.0224755322304033,1.0
DK,G,2023,41149.8,,36842.2,,1.1169202707764467,1.0224755322304033,1.0923687027894193
DK,G,2024,42046.6,,36790.5,,1.1428656854350987,1.0224755322304033,1.1177437986629168
DK,H,2021,24410.5,,15696.6,,1.5551457003427493,1.5551457003427493,1.0
DK,H,2023,20057.5,,17080.2,,1.1743129471551854,1.5551457003427493,0.7551144223312134
DK,H,2024,22255.2,,16292.5,,1.3659782108332055,1.5551457003427493,0.8783602787392513
DK,I,2021,3475.4,,3290.1,,1.056320476581259,1.056320476581259,1.0
DK,I,2023,5431.8,,4454.3,,1.2194508677008733,1.056320476581259,1.154432669569731
DK,I,2024,5690.3,,4670.6,,1.2183231276495525,1.056320476581259,1.1533650579155759
DK,J,2021,13826.5,,13819.7,,1.0004920512022693,1.0004920512022693,1.0
DK,J,2023,15430.4,,15433.6,,0.9997926601700187,1.0004920512022693,0.9993009529346983
DK,J,2024,16127.7,,15928.6,,1.0124995291488266,1.0004920512022693,1.0120015725583509
DK,L,2021,31859.8,,32229.0,,0.9885444785751962,0.9885444785751962,1.0
DK,L,2023,35227.7,,34723.8,,1.0145116605901425,0.9885444785751962,1.0262680967601712
DK,L,2024,36124.3,,35383.3,,1.0209420828469928,0.9885444785751962,1.0327730364935037
DK,M,2021,21076.0,,20593.2,,1.0234446322086903,1.0234446322086903,1.0
DK,M,2023,21229.8,,19720.6,,1.0765291116903137,1.0234446322086903,1.051868442914261
DK,M,2024,24407.5,,21755.8,,1.1218847387823017,1.0234446322086903,1.096185082686074
DK,N,2021,9124.4,,8989.0,,1.0150628546000666,1.0150628546000666,1.0
DK,N,2023,9840.2,,8822.2,,1.1153907188683094,1.0150628546000666,1.0988390657914202
DK,N,2024,10193.5,,8906.5,,1.1445012069836635,1.0150628546000666,1.1275175737118224
EE,C,2021,4098.7,,3763.7,,1.089008156866913,1.089008156866913,1.0
EE,C,2023,4360.2,,3227.8,,1.350827188797323,1.089008156866913,1.2404197161237671
EE,C,2024,4436.0,,3280.4,,1.3522741129130593,1.089008156866913,1.2417483784543588
EE,F,2021,1810.2,,1733.1,,1.0444867578327852,1.0444867578327852,1.0
EE,F,2023,2200.3,,1671.1,,1.316677637484292,1.0444867578327852,1.260597731479409
EE,F,2024,2280.1,,1499.7,,1.5203707408148295,1.0444867578327852,1.4556151424738597
EE,G,2021,3455.6,,3589.7,,0.9626431178092877,0.9626431178092877,1.0
EE,G,2023,3902.9,,3257.3,,1.1982009639885796,0.9626431178092877,1.244699039365032
EE,G,2024,4002.8,,3302.3,,1.2121248826575417,0.9626431178092877,1.2591632976258182
EE,H,2021,1781.1,,1775.3,,1.003267053455754,1.003267053455754,1.0
EE,H,2023,1811.0,,1589.3,,1.139495375322469,1.003267053455754,1.1357847059738249
