country_code,sector_code,delta_labour_productivity_keur_2021_2024,delta_ai_any_pct_2021_2024,delta_ai_ge2_pct_2021_2024,delta_ai_ge3_pct_2021_2024,delta_ai_workflow_pct_2021_2024,delta_ai_production_pct_2021_2024,delta_ai_logistics_pct_2021_2024,delta_ai_marketing_pct_2021_2024,delta_ai_security_pct_2021_2024,delta_log_productivity_2021_2024
CZ,H,9.268207502135887,2.3100000000000005,1.9200000000000002,0.29999999999999993,0.22999999999999998,0.14,-0.28,2.1199999999999997,-0.38,0.25510415891399196
CZ,I,12.541278808269253,3.31,0.6900000000000001,-0.22000000000000003,0.66,0.0,0.28,1.9500000000000002,0.6200000000000001,0.7769999105042551
CZ,J,13.801281280591269,25.270000000000003,19.57,16.18,6.24,5.2299999999999995,0.3600000000000001,14.92,6.0600000000000005,0.16767185497833026
CZ,L,6.014185592383825,9.23,3.25,-0.17999999999999994,1.3199999999999998,0.18,0.9,5.720000000000001,3.15,0.13437755339918045
CZ,M,9.180045796457165,12.81,10.24,5.37,5.58,2.54,0.17000000000000004,7.1,-0.27000000000000046,0.193887403326936
CZ,N,5.689705720312066,6.35,3.8500000000000005,2.2300000000000004,1.8099999999999998,-0.27,0.32,4.1000000000000005,2.21,0.2677193291411797
DE,C,7.5138820903414825,6.92,3.4799999999999995,2.06,1.0100000000000002,0.8799999999999999,0.41000000000000003,3.31,1.94,0.07922048394497416
DE,F,8.994692017705333,1.7200000000000006,2.05,0.7599999999999998,-1.1300000000000001,0.6599999999999999,-0.009999999999999981,,,0.12851044054852068
DE,G,-7.712623325444909,8.34,5.620000000000001,2.2,-0.029999999999999805,1.3699999999999999,0.3599999999999999,6.1000000000000005,1.41,-0.11470512453381954
DE,H,3.1720869753524283,5.340000000000001,3.8999999999999995,2.6,0.18999999999999995,,,,,0.05144527783939523
DE,I,6.262340483194841,4.38,1.67,0.97,-0.19999999999999996,,-0.05,,,0.25653752815254194
DE,J,0.25140517835937715,31.720000000000002,29.709999999999997,19.299999999999997,17.28,24.139999999999997,-1.12,21.57,5.07,0.0024038241546744388
DE,L,-11.102533981226514,9.83,6.83,4.4,2.46,,,,,-0.07845568184784923
DE,M,3.470667188560796,16.75,11.899999999999999,7.080000000000001,3.4800000000000004,11.7,0.28,7.140000000000001,3.7099999999999995,0.04201574886334747
DE,N,6.84896970979306,12.06,8.35,4.58,3.8400000000000003,3.33,0.9700000000000001,,,0.14697973932967834
DK,C,48.06595178559115,-5.530000000000001,-0.4400000000000013,0.9500000000000002,-13.029999999999998,-2.7700000000000005,-1.5100000000000002,2.8900000000000006,-1.1000000000000005,0.31541420216248994
DK,G,-2.590448884160594,6.039999999999999,8.54,6.260000000000001,-3.92,0.27999999999999936,-2.2899999999999996,6.739999999999999,-0.4800000000000004,-0.03719794070109028
