scenario,scenario_label,specification,ai_variable,indicator,beta_per_1pp,clustered_se,t_stat,p_value,ci95_low,ci95_high,effect_10pp_pct,n,clusters,r2_absorbing_ls
balanced_unweighted,"Muestra balanceada, sin ponderar",M2_entity_year_FE,ai_workflow_pct,Procesos y decisiones,0.0007269702816940991,0.0018713244251219875,0.3884790215607374,0.6978622417629468,-0.0029515643532947804,0.004405504916682979,0.7296191255251605,624,209,0.9847066452469697
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_workflow_pct,Procesos y decisiones,-0.000293514013142177,0.0016583737941911882,-0.1769890564903239,0.8596242625384993,-0.0035556877752112516,0.0029686597489268977,-0.29308368189309153,624,209,0.9892615645085938
balanced_unweighted,"Muestra balanceada, sin ponderar",M1_country_sector_year_FE,ai_production_pct,Producción,0.0037708914050789796,0.005437722346831782,0.6934689130047327,0.4883033653335278,-0.0069099742286945695,0.014451757038852528,3.8428916813715075,597,208,0.8550590415850551
balanced_unweighted,"Muestra balanceada, sin ponderar",M2_entity_year_FE,ai_production_pct,Producción,-0.004215861475124058,0.0021811589291245545,-1.932853869028318,0.05398536386828212,-0.008504300760305863,7.257781005774646e-05,-4.1282298257941274,597,208,0.9850263771922915
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_production_pct,Producción,-0.0011099503543220543,0.0017605268566036705,-0.6304648805320248,0.5288579671259441,-0.004574132016081329,0.00235423130743722,-1.1038131330669887,597,208,0.9894073513595081
balanced_unweighted,"Muestra balanceada, sin ponderar",M1_country_sector_year_FE,ai_logistics_pct,Logística,0.03804129789455036,0.018640249260687226,2.040814871224949,0.04174441096795545,0.0014267995298264738,0.07465579625927424,46.28886068966578,590,208,0.8562279374905046
balanced_unweighted,"Muestra balanceada, sin ponderar",M2_entity_year_FE,ai_logistics_pct,Logística,0.005410349839564332,0.008714135147083675,0.6208705451825581,0.5350579979389709,-0.01172375715116972,0.022544456830298387,5.5593848771356535,590,208,0.9850341387758548
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_logistics_pct,Logística,0.0010139570428003893,0.008167383922160125,0.12414710174812207,0.9012816682101015,-0.015058446099618634,0.01708636018521941,1.0191150056591436,590,208,0.9892188769377382
balanced_unweighted,"Muestra balanceada, sin ponderar",M1_country_sector_year_FE,ai_marketing_pct,Marketing y ventas,-0.0011179200133221777,0.0037112611684270197,-0.3012237518697712,0.7633547031515526,-0.00840747361715653,0.006171633590512175,-1.111694507860883,603,208,0.8562194654067523
balanced_unweighted,"Muestra balanceada, sin ponderar",M2_entity_year_FE,ai_marketing_pct,Marketing y ventas,-0.004477025410329103,0.001933684548602599,-2.3152821971735156,0.021113114045429926,-0.008278715185735065,-0.0006753356349231414,-4.378285643596036,603,208,0.9851439039309016
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_marketing_pct,Marketing y ventas,-0.0037800025935809845,0.0021411088159723627,-1.7654416092179486,0.07846146550663291,-0.007992736315797907,0.0004327311286359387,-3.7094522238813377,603,208,0.9895419831919857
balanced_unweighted,"Muestra balanceada, sin ponderar",M1_country_sector_year_FE,ai_security_pct,Seguridad informática,0.00625744718029577,0.005963286448863368,1.0493286267488409,0.2944844315753743,-0.005455969676925416,0.017970864037516954,6.457373669139632,592,205,0.8564675244945491
balanced_unweighted,"Muestra balanceada, sin ponderar",M2_entity_year_FE,ai_security_pct,Seguridad informática,-0.002004613235485702,0.0025354428303868233,-0.790636338339313,0.4296442482011815,-0.0069897019466972216,0.002980475475725818,-1.9846544523261511,592,205,0.9848566397767048
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_security_pct,Seguridad informática,-0.0012039346375383286,0.0023585678354456187,-0.5104515627852874,0.6101031633908454,-0.005844998801119985,0.0034371295260433275,-1.1967163413764026,592,205,0.989361563873893
